
===== doforpjh.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 22050 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 3.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7212728 real : 379.691581 / imag : -248.686687 
0xf7212738 real : 0.000000 / imag : 0.000000 
0xf7212748 real : 373.433644 / imag : -583.010998 
0xf7212758 real : 0.000000 / imag : 0.000000 
0xf7212768 real : 376.717108 / imag : -79.599759 
0xf7212778 real : 0.000000 / imag : 0.000000 
0xf7212788 real : 384.803149 / imag : -956.852428 
0xf7212798 real : 0.000000 / imag : 0.000000 
0xf72127a8 real : 394.580912 / imag : -183.234216 
0xf72127b8 real : 0.000000 / imag : 0.000000 
0xf72127c8 real : 326.415308 / imag : -436.601282 
0xf72127d8 real : 0.000000 / imag : 0.000000 
0xf72127e8 real : 276.915668 / imag : -18.926778 
0xf72127f8 real : 0.000000 / imag : 0.000000 
0xf7212808 real : 13492.360565 / imag : 4067.375974 
0xf7212818 real : 2224.027337 / imag : 186.625783 
0xf7212828 real : 2204.794635 / imag : -2053.284766 
0xf7212838 real : 0.000000 / imag : 0.000000 
0xf7212848 real : 2671.445144 / imag : -5001.103400 
0xf7212858 real : 0.000000 / imag : 0.000000 
0xf7212868 real : 2277.578033 / imag : -810.779987 
0xf7212878 real : 0.000000 / imag : 0.000000 
0xf7212888 real : 2601.688504 / imag : -9990.044000 
0xf7212898 real : 0.000000 / imag : 0.000000 
0xf72128a8 real : 2241.723908 / imag : -1248.703203 
0xf72128b8 real : 0.000000 / imag : 0.000000 
0xf72128c8 real : 2358.415132 / imag : -3034.103094 
0xf72128d8 real : 0.000000 / imag : 0.000000 
0xf72128e8 real : 2346.162002 / imag : -68.426075 
0xf72128f8 real : 0.000000 / imag : 0.000000 
0xf7212908 real : 2397.383609 / imag : -19782.323450 
0xf7212918 real : 0.000000 / imag : 0.000000 
0xf7212928 real : 2290.769395 / imag : -1580.310618 
0xf7212938 real : 0.000000 / imag : 0.000000 
0xf7212948 real : 2427.859859 / imag : -3833.424937 
0xf7212958 real : 0.000000 / imag : 0.000000 
0xf7212968 real : 2222.358549 / imag : -512.016727 
0xf7212978 real : 0.000000 / imag : 0.000000 
0xf7212988 real : 2512.505867 / imag : -6651.079353 
0xf7212998 real : 0.000000 / imag : 0.000000 
0xf72129a8 real : 2091.280023 / imag : -820.622551 
0xf72129b8 real : 0.000000 / imag : 0.000000 
0xf72129c8 real : 2260.056160 / imag : -2611.219966 
0xf72129d8 real : 0.000000 / imag : 0.000000 
0xf72129e8 real : 2150.056082 / imag : -51.315482 
0xf72129f8 real : 0.000000 / imag : 0.000000 
0xf7212a08 real : -505.370520 / imag : -46250.891650 
0xf7212a18 real : 0.000000 / imag : 0.000000 
0xf7212a28 real : 2281.970911 / imag : -1770.835006 
0xf7212a38 real : 0.000000 / imag : 0.000000 
0xf7212a48 real : 2448.192110 / imag : -4311.107214 
0xf7212a58 real : 0.000000 / imag : 0.000000 
0xf7212a68 real : 2245.190958 / imag : -692.070386 
0xf7212a78 real : 0.000000 / imag : 0.000000 
0xf7212a88 real : 2790.496340 / imag : -7936.609365 
0xf7212a98 real : 0.000000 / imag : 0.000000 
0xf7212aa8 real : 2311.427492 / imag : -1134.515960 
0xf7212ab8 real : 0.000000 / imag : 0.000000 
0xf7212ac8 real : 2357.368941 / imag : -2518.042426 
0xf7212ad8 real : 0.000000 / imag : 0.000000 
0xf7212ae8 real : 2172.900204 / imag : -164.583875 
0xf7212af8 real : 0.000000 / imag : 0.000000 
0xf7212b08 real : 2484.594825 / imag : -13355.059140 
0xf7212b18 real : 0.000000 / imag : 0.000000 
0xf7212b28 real : 2556.148525 / imag : -1412.747884 
0xf7212b38 real : 0.000000 / imag : 0.000000 
0xf7212b48 real : 2423.430681 / imag : -3490.719826 
0xf7212b58 real : 0.000000 / imag : 0.000000 
0xf7212b68 real : 2254.674184 / imag : -277.482756 
0xf7212b78 real : 0.000000 / imag : 0.000000 
0xf7212b88 real : 2245.398747 / imag : -5611.519861 
0xf7212b98 real : 0.000000 / imag : 0.000000 
0xf7212ba8 real : 2252.277729 / imag : -842.716524 
0xf7212bb8 real : 0.000000 / imag : 0.000000 
0xf7212bc8 real : 2287.379362 / imag : -2223.100246 
0xf7212bd8 real : 0.000000 / imag : 0.000000 
0xf7212be8 real : 2023.924338 / imag : 46.809303 
0xf7212bf8 real : 0.000000 / imag : 0.000000 
0xf7212c08 real : -509293.274472 / imag : -3250091.460772 
0xf7212c18 real : 0.000000 / imag : 0.000000 
0xf7212c28 real : 1929.990961 / imag : -1030.311912 
0xf7212c38 real : 0.000000 / imag : 0.000000 
0xf7212c48 real : 2190.200545 / imag : -3013.454607 
0xf7212c58 real : 0.000000 / imag : 0.000000 
0xf7212c68 real : 1685.332761 / imag : -328.060565 
0xf7212c78 real : 0.000000 / imag : 0.000000 
0xf7212c88 real : 2399.901312 / imag : -5755.579757 
0xf7212c98 real : 0.000000 / imag : 0.000000 
0xf7212ca8 real : 1591.639627 / imag : -593.636046 
0xf7212cb8 real : 0.000000 / imag : 0.000000 
0xf7212cc8 real : 1905.991642 / imag : -1613.101322 
0xf7212cd8 real : 0.000000 / imag : 0.000000 
0xf7212ce8 real : 1578.844528 / imag : 13.956367 
0xf7212cf8 real : 0.000000 / imag : 0.000000 
0xf7212d08 real : 2989.185151 / imag : -9654.735593 
0xf7212d18 real : 0.000000 / imag : 0.000000 
0xf7212d28 real : 1858.900181 / imag : -852.971355 
0xf7212d38 real : 0.000000 / imag : 0.000000 
0xf7212d48 real : 1849.366156 / imag : -2044.191546 
0xf7212d58 real : 0.000000 / imag : 0.000000 
0xf7212d68 real : 1625.807480 / imag : -173.950673 
0xf7212d78 real : 0.000000 / imag : 0.000000 
0xf7212d88 real : 1935.388137 / imag : -3945.073424 
0xf7212d98 real : 0.000000 / imag : 0.000000 
0xf7212da8 real : 1807.852926 / imag : -570.650569 
0xf7212db8 real : 0.000000 / imag : 0.000000 
0xf7212dc8 real : 1796.246441 / imag : -1541.611411 
0xf7212dd8 real : 0.000000 / imag : 0.000000 
0xf7212de8 real : 1665.324996 / imag : 236.926977 
0xf7212df8 real : 0.000000 / imag : 0.000000 
0xf7212e08 real : 3377.567579 / imag : -14827.184895 
0xf7212e18 real : 0.000000 / imag : 0.000000 
0xf7212e28 real : 1782.742382 / imag : -988.888219 
0xf7212e38 real : 0.000000 / imag : 0.000000 
0xf7212e48 real : 1922.164685 / imag : -2471.597739 
0xf7212e58 real : 0.000000 / imag : 0.000000 
0xf7212e68 real : 1658.521140 / imag : -120.736750 
0xf7212e78 real : 0.000000 / imag : 0.000000 
0xf7212e88 real : 2347.216033 / imag : -4701.153781 
0xf7212e98 real : 0.000000 / imag : 0.000000 
0xf7212ea8 real : 1705.212372 / imag : -537.787173 
0xf7212eb8 real : 0.000000 / imag : 0.000000 
0xf7212ec8 real : 1866.642190 / imag : -1671.391727 
0xf7212ed8 real : 0.000000 / imag : 0.000000 
0xf7212ee8 real : 1684.721979 / imag : 186.226690 
0xf7212ef8 real : 0.000000 / imag : 0.000000 
0xf7212f08 real : 2418.230572 / imag : -7423.590987 
0xf7212f18 real : 0.000000 / imag : 0.000000 
0xf7212f28 real : 1508.994116 / imag : -725.749653 
0xf7212f38 real : 0.000000 / imag : 0.000000 
0xf7212f48 real : 1950.560681 / imag : -2030.398845 
0xf7212f58 real : 0.000000 / imag : 0.000000 
0xf7212f68 real : 1658.797761 / imag : 27.666809 
0xf7212f78 real : 0.000000 / imag : 0.000000 
0xf7212f88 real : 2278.703063 / imag : -3437.711109 
0xf7212f98 real : 0.000000 / imag : 0.000000 
0xf7212fa8 real : 1728.227381 / imag : -439.807904 
0xf7212fb8 real : 0.000000 / imag : 0.000000 
0xf7212fc8 real : 1870.997301 / imag : -1214.122922 
0xf7212fd8 real : 0.000000 / imag : 0.000000 
0xf7212fe8 real : 1614.981680 / imag : 291.907813 
0xf7212ff8 real : 0.000000 / imag : 0.000000 
0xf7213008 real : 2248.900629 / imag : 1367.637779 
0xf7213018 real : 362.714165 / imag : -11.845546 
